unit ID,Capacity(MW),utilization hour (h),coal consumption (g coal/KWh),power consumption rate (%),actual
1,110,2069.12,266.07,6.91,1838.5437
2,160,5509.22,292.7,6.91,2022.557
3,160,3562.79,293.35,6.91,2027.0485
4,160,5684.12,284.88,6.91,1968.5208
5,220,2231.35,323.08,8.54,2759.1032
6,220,3255.01,321.72,8.54,2747.4888
7,220,5361.12,317.13,8.54,2708.2902
8,220,4752.73,320.21,8.54,2734.5934
9,150,1598.25,344.47,5.91,2035.8177
10,150,3369.59,311.45,5.91,1840.6695
11,315,5786.89,283.32,5.91,1674.4212
12,315,5676.96,292.42,5.91,1728.2022
13,145,3938.84,246.27,5.38,1324.9326
14,145,4769.08,277.92,5.38,1495.2096
15,335,5288.46,266.97,5.38,1436.2986
16,335,4807.65,281.59,5.38,1514.9542
17,140,1808.09,294.58,5.93,1746.8594
18,140,3294.85,277.32,5.93,1644.5076
19,140,3852.32,292.68,5.93,1735.5924
20,140,3077.6,293.38,5.93,1739.7434
21,350,4485.47,275.45,5.93,1633.4185
22,350,5478.45,277.14,5.93,1643.4402
23,300,5203.77,305.44,5.68,1734.8992
24,300,5882.75,306.77,5.68,1742.4536
25,330,3421.85,310.19,3.54,1098.0726
26,330,3463.49,323.36,3.54,1144.6944
27,1030,4509.91,272.4,3.54,964.296
28,1030,4423.07,261.31,3.54,925.0374
29,330,1760.08,321.5,5.36,1723.24
30,330,2463.11,323.56,5.36,1734.2816
31,660,5420.44,273.71,5.36,1467.0856
32,660,5433.73,270.23,5.36,1448.4328
33,350,4823.98,275.98,4.48,1236.3904
34,330,4423.62,249.82,4.48,1119.1936
35,330,4240.16,249.02,4.48,1115.6096
36,350,5251.85,277.14,4.48,1241.5872
37,315,3545.24,326.14,6.76,2204.7064
38,315,3664.48,325.79,6.76,2202.3404
39,315,4974.6,341.04,6.76,2305.4304
40,315,3596.42,344.66,6.76,2329.9016
41,330,3384.92,302.68,6.76,2046.1168
42,330,4957.84,298.96,6.76,2020.9696
43,320,4910.27,278.29,5.53,1538.9437
44,320,4449.49,260.33,5.53,1439.6249
45,300,5082.94,288.84,5.53,1597.2852
46,330,3763.17,290.4,5.53,1605.912
47,350,4261.61,269.29,4.38,1179.4902
48,350,4563.14,263.9,4.38,1155.882
49,335,3358.36,294.39,6.44,1895.8716
50,335,4895.49,285.84,6.44,1840.8096
51,335,3824.99,315.5,6.44,2031.82
52,335,2130.48,315.69,6.44,2033.0436
53,600,2996.33,307.03,6.44,1977.2732
54,600,4815.9,304.5,6.44,1960.98
