day,time,demand,clearing price (CNY/MWh)
2021-12-01,12:15,31402.28,-80.0
2021-12-01,12:30,31320.65,-80.0
2021-12-01,12:45,31490.36,-80.0
2021-12-01,13:00,32171.88,-80.0
2021-12-02,10:15,33105.4,-80.0
2021-12-02,10:30,32762.3,-80.0
2021-12-02,10:45,32026.94,-80.0
2021-12-02,11:00,32548.53,-80.0
2021-12-02,11:15,33078.85,-80.0
2021-12-02,11:30,32599.95,-80.0
2021-12-02,11:45,32068.64,-80.0
2021-12-02,12:00,31606.39,-80.0
2021-12-02,12:15,31976.52,-80.0
2021-12-02,12:30,31904.66,-80.0
2021-12-02,12:45,32084.84,-80.0
2021-12-02,13:00,32365.41,-80.0
2021-12-02,13:15,32367.99,-80.0
2021-12-02,13:30,32480.1,-80.0
2021-12-02,13:45,32941.12,-80.0
2021-12-02,14:00,32634.83,-80.0
2021-12-02,14:15,32282.52,-32.71
2021-12-02,14:30,31689.04,-32.71
2021-12-02,14:45,32843.67,-32.71
2021-12-02,15:00,33818.67,-32.71
2021-12-04,12:15,34023.49,-61.5
2021-12-04,12:30,34074.29,-61.5
2021-12-04,12:45,34656.89,-61.5
2021-12-04,13:00,35339.89,-61.5
2021-12-05,10:15,31672.75,-80.0
2021-12-05,10:30,31662.39,-80.0
2021-12-05,10:45,31775.23,-80.0
2021-12-05,11:00,31584.69,-80.0
2021-12-05,11:15,31264.44,-70.5
2021-12-05,11:30,30854.39,-70.5
2021-12-05,11:45,30702.48,-70.5
2021-12-05,12:00,30292.49,-70.5
2021-12-05,12:15,30324.12,-80.0
2021-12-05,12:30,30626.32,-80.0
2021-12-05,12:45,30627.17,-80.0
2021-12-05,13:00,30777.39,-80.0
2021-12-05,13:15,31404.37,-19.4
2021-12-05,13:30,31532.37,-19.4
2021-12-05,13:45,31607.81,-19.4
2021-12-05,14:00,31693.65,-19.4
2021-12-06,12:15,30310.27,-80.0
2021-12-06,12:30,29906.86,-80.0
2021-12-06,12:45,30442.44,-80.0
2021-12-06,13:00,30895.24,-80.0
2021-12-06,13:15,32059.6,-80.0
2021-12-06,13:30,32663.67,-80.0
2021-12-06,13:45,32949.46,-80.0
2021-12-06,14:00,32519.29,-80.0
2021-12-06,14:15,32047.61,-80.0
2021-12-06,14:30,31917.03,-80.0
2021-12-06,14:45,32441.08,-80.0
2021-12-06,15:00,33648.67,-80.0
2021-12-12,10:15,31490.16,-80.0
2021-12-12,10:30,32302.39,-80.0
2021-12-12,10:45,32468.82,-80.0
2021-12-12,11:00,32315.59,-80.0
2021-12-12,11:15,32416.19,-80.0
2021-12-12,11:30,32556.91,-80.0
2021-12-12,11:45,32755.39,-80.0
2021-12-12,12:00,32518.58,-80.0
2021-12-12,12:15,32733.93,-80.0
2021-12-12,12:30,32952.84,-80.0
2021-12-12,12:45,32877.56,-80.0
2021-12-12,13:00,32940.04,-80.0
2021-12-16,12:15,33175.96,-80.0
2021-12-16,12:30,32353.04,-80.0
2021-12-16,12:45,32214.31,-80.0
2021-12-16,13:00,32829.15,-80.0
2021-12-17,10:15,30752.43,-80.0
2021-12-17,10:30,30523.19,-80.0
2021-12-17,10:45,30604.2,-80.0
2021-12-17,11:00,30856.18,-80.0
2021-12-17,11:15,31352.75,-80.0
2021-12-17,11:30,30867.74,-80.0
2021-12-17,11:45,30746.65,-80.0
2021-12-17,12:00,30263.88,-80.0
2021-12-17,12:15,30688.99,-80.0
2021-12-17,12:30,30945.08,-80.0
2021-12-17,12:45,30717.1,-80.0
2021-12-17,13:00,31103.6,-80.0
2021-12-17,13:15,32508.19,-80.0
2021-12-17,13:30,33289.93,-80.0
2021-12-17,13:45,33295.67,-80.0
2021-12-17,14:00,32995.45,-80.0
2021-12-18,12:15,32014.98,-80.0
2021-12-18,12:30,32018.66,-80.0
2021-12-18,12:45,32679.36,-80.0
2021-12-18,13:00,32836.6,-80.0
2021-12-19,12:15,32211.27,-80.0
2021-12-19,12:30,31864.78,-80.0
2021-12-19,12:45,31559.11,-80.0
