day,time,clearing price (CNY/MWh)
2023/7/1,0:15,407.8121408
2023/7/1,0:30,392.2400796
2023/7/1,0:45,385.8384291
2023/7/1,1:00,386.1666295
2023/7/1,1:15,385.2042451
2023/7/1,1:30,374.7682062
2023/7/1,1:45,381.6818179
2023/7/1,2:00,380.8271716
2023/7/1,2:15,387.4142701
2023/7/1,2:30,388.6180963
2023/7/1,2:45,384.9935207
2023/7/1,3:00,359.0127793
2023/7/1,3:15,383.5868035
2023/7/1,3:30,377.6443697
2023/7/1,3:45,383.5506433
2023/7/1,4:00,383.7362011
2023/7/1,4:15,393.4202625
2023/7/1,4:30,387.7911287
2023/7/1,4:45,366.6724581
2023/7/1,5:00,362.4466848
2023/7/1,5:15,372.7803935
2023/7/1,5:30,368.4533723
2023/7/1,5:45,368.6487059
2023/7/1,6:00,365.0875209
2023/7/1,6:15,370.7971695
2023/7/1,6:30,363.9141921
2023/7/1,6:45,352.1533986
2023/7/1,7:00,313.6651767
2023/7/1,7:15,315.4555991
2023/7/1,7:30,316.6979268
2023/7/1,7:45,312.1440576
2023/7/1,8:00,281.7780806
2023/7/1,8:15,294.833964
2023/7/1,8:30,297.9374686
2023/7/1,8:45,276.2590925
2023/7/1,9:00,257.9085205
2023/7/1,9:15,254.7571367
2023/7/1,9:30,248.7841536
2023/7/1,9:45,251.6396984
2023/7/1,10:00,268.3186926
2023/7/1,10:15,265.9298139
2023/7/1,10:30,261.3582532
2023/7/1,10:45,291.4439693
2023/7/1,11:00,301.2845665
2023/7/1,11:15,312.92191
2023/7/1,11:30,309.4904622
2023/7/1,11:45,311.8600368
2023/7/1,12:00,276.3311244
2023/7/1,12:15,268.7660245
2023/7/1,12:30,259.3327141
2023/7/1,12:45,254.130001
2023/7/1,13:00,273.9114464
2023/7/1,13:15,281.0681758
2023/7/1,13:30,285.3328779
2023/7/1,13:45,282.1876336
2023/7/1,14:00,313.1279224
2023/7/1,14:15,312.9040512
2023/7/1,14:30,297.3596852
2023/7/1,14:45,305.3010564
2023/7/1,15:00,290.1638746
2023/7/1,15:15,303.4014655
2023/7/1,15:30,347.7541405
2023/7/1,15:45,350.6618277
2023/7/1,16:00,411.4504175
2023/7/1,16:15,417.4782272
2023/7/1,16:30,422.310853
2023/7/1,16:45,420.6931285
2023/7/1,17:00,464.9748002
2023/7/1,17:15,467.5592681
2023/7/1,17:30,470.988344
2023/7/1,17:45,483.5604717
2023/7/1,18:00,499.2946611
2023/7/1,18:15,500.2402966
2023/7/1,18:30,502.6988044
2023/7/1,18:45,504.5766125
2023/7/1,19:00,488.1559579
2023/7/1,19:15,487.4000116
2023/7/1,19:30,486.8194275
2023/7/1,19:45,490.1220622
2023/7/1,20:00,484.505081
2023/7/1,20:15,484.080208
2023/7/1,20:30,478.7064873
2023/7/1,20:45,480.8915096
2023/7/1,21:00,466.3263289
2023/7/1,21:15,461.2268557
2023/7/1,21:30,453.6111277
2023/7/1,21:45,465.4727984
2023/7/1,22:00,453.8992278
2023/7/1,22:15,458.8355615
2023/7/1,22:30,456.0300354
2023/7/1,22:45,449.205168
2023/7/1,23:00,447.1646282
2023/7/1,23:15,444.4507747
2023/7/1,23:30,435.2813901
2023/7/1,23:45,414.0351593
2023/7/1,24:00:00,406.8201638
2023/7/2,0:15,398.0579711
2023/7/2,0:30,405.6382396
2023/7/2,0:45,406.1839974
2023/7/2,1:00,393.8197565
2023/7/2,1:15,391.9245665
2023/7/2,1:30,397.7329306
2023/7/2,1:45,401.9435883
2023/7/2,2:00,394.5285256
2023/7/2,2:15,398.1891346
2023/7/2,2:30,394.428241
2023/7/2,2:45,393.3229015
2023/7/2,3:00,368.7438742
2023/7/2,3:15,371.6240748
2023/7/2,3:30,365.6167228
2023/7/2,3:45,347.1628522
2023/7/2,4:00,371.8046035
2023/7/2,4:15,357.9419068
2023/7/2,4:30,360.1397487
2023/7/2,4:45,369.7702677
2023/7/2,5:00,393.3727858
2023/7/2,5:15,398.2261097
2023/7/2,5:30,396.7713819
2023/7/2,5:45,379.7749042
2023/7/2,6:00,371.420581
2023/7/2,6:15,389.9028065
2023/7/2,6:30,384.2217718
2023/7/2,6:45,380.8909113
2023/7/2,7:00,333.3480273
2023/7/2,7:15,317.2273024
2023/7/2,7:30,311.8194747
2023/7/2,7:45,320.8689786
2023/7/2,8:00,280.1119607
2023/7/2,8:15,272.6123014
2023/7/2,8:30,268.0948781
2023/7/2,8:45,267.8038216
2023/7/2,9:00,245.211836
2023/7/2,9:15,239.0306882
2023/7/2,9:30,238.4708731
2023/7/2,9:45,247.3668398
2023/7/2,10:00,247.0687143
2023/7/2,10:15,257.1087943
2023/7/2,10:30,246.8839314
2023/7/2,10:45,248.4232602
2023/7/2,11:00,259.414921
2023/7/2,11:15,279.1980918
2023/7/2,11:30,289.9700288
2023/7/2,11:45,280.7503701
2023/7/2,12:00,266.1988801
2023/7/2,12:15,246.1145389
2023/7/2,12:30,249.3846041
2023/7/2,12:45,273.1088581
2023/7/2,13:00,269.4224078
2023/7/2,13:15,275.4355027
2023/7/2,13:30,260.0125501
2023/7/2,13:45,251.7535223
2023/7/2,14:00,289.3470775
2023/7/2,14:15,309.3817474
2023/7/2,14:30,286.860032
2023/7/2,14:45,291.9151831
2023/7/2,15:00,330.471609
2023/7/2,15:15,335.3994521
2023/7/2,15:30,338.3913706
2023/7/2,15:45,341.1435281
2023/7/2,16:00,406.9991934
2023/7/2,16:15,413.0666774
2023/7/2,16:30,428.0089956
2023/7/2,16:45,427.9935392
2023/7/2,17:00,454.4054945
2023/7/2,17:15,456.5981252
2023/7/2,17:30,458.057751
2023/7/2,17:45,460.9282463
2023/7/2,18:00,480.4472559
2023/7/2,18:15,489.2017218
2023/7/2,18:30,491.1287755
2023/7/2,18:45,495.254071
2023/7/2,19:00,478.6695284
2023/7/2,19:15,477.1177977
2023/7/2,19:30,483.7807646
2023/7/2,19:45,504.1779448
