day,time,clearing price (CNY/MWh)
2023/7/1,0:15,402.2445272632632
2023/7/1,0:30,388.2366587991672
2023/7/1,0:45,383.9688917796765
2023/7/1,1:00,384.2732465516278
2023/7/1,1:15,380.32583014780494
2023/7/1,1:30,375.1204972719397
2023/7/1,1:45,378.81683568384597
2023/7/1,2:00,375.7545295225285
2023/7/1,2:15,380.14592851087946
2023/7/1,2:30,379.93736476661974
2023/7/1,2:45,377.6541882475872
2023/7/1,3:00,352.17293651906743
2023/7/1,3:15,375.1148560024769
2023/7/1,3:30,371.15323344751044
2023/7/1,3:45,374.77248797416445
2023/7/1,4:00,364.7657783325034
2023/7/1,4:15,371.2218193134333
2023/7/1,4:30,363.31152811761694
2023/7/1,4:45,349.2324144022734
2023/7/1,5:00,358.75141282653186
2023/7/1,5:15,367.72058070723557
2023/7/1,5:30,366.34058844575486
2023/7/1,5:45,367.10388328593075
2023/7/1,6:00,365.94091713008424
2023/7/1,6:15,371.66286977951796
2023/7/1,6:30,367.6101587329773
2023/7/1,6:45,358.1961825608087
2023/7/1,7:00,322.70846677437606
2023/7/1,7:15,323.5495136837016
2023/7/1,7:30,324.37773216917515
2023/7/1,7:45,321.3418193707384
2023/7/1,8:00,280.82665496777906
2023/7/1,8:15,283.7590547482148
2023/7/1,8:30,286.3387368761108
2023/7/1,8:45,271.8864861364444
2023/7/1,9:00,238.35662411770983
2023/7/1,9:15,235.72716836954996
2023/7/1,9:30,231.7451796718079
2023/7/1,9:45,232.94266251935088
2023/7/1,10:00,246.49947397161947
2023/7/1,10:15,248.25167984275777
2023/7/1,10:30,255.41608615012308
2023/7/1,10:45,277.8256166859163
2023/7/1,11:00,284.21458688957887
2023/7/1,11:15,294.637201379759
2023/7/1,11:30,292.34956953460596
2023/7/1,11:45,293.92928588979834
2023/7/1,12:00,257.32952823295426
2023/7/1,12:15,249.7414930563878
2023/7/1,12:30,243.45261942110434
2023/7/1,12:45,242.64249439156467
2023/7/1,13:00,257.7888763808581
2023/7/1,13:15,261.32931233237804
2023/7/1,13:30,265.7173518943273
2023/7/1,13:45,262.9006101594047
2023/7/1,14:00,303.5480013546231
2023/7/1,14:15,303.3987538374582
2023/7/1,14:30,287.0722119800248
2023/7/1,14:45,292.36645948587625
2023/7/1,15:00,297.19280938873914
2023/7/1,15:15,308.5944202858229
2023/7/1,15:30,339.51762339366763
